"Compartment"	"Host_order"	"Rank_2"	"total_reads"	"total_reads_com_host"	"prop"
"295"	"Endophytic"	"Sapindales"	"Armatimonadota"	2	180013	1.11103086999272e-05
"296"	"Endophytic"	"Sapindales"	"Bacteroidota"	1412	180013	0.00784387794214862
"297"	"Endophytic"	"Sapindales"	"Bdellovibrionota"	39	180013	0.000216651019648581
"298"	"Endophytic"	"Sapindales"	"Calditrichota"	0	180013	0
"299"	"Endophytic"	"Sapindales"	"Campilobacterota"	0	180013	0
"300"	"Endophytic"	"Sapindales"	"Chloroflexi"	14	180013	7.77721608994906e-05
"301"	"Endophytic"	"Sapindales"	"Cloacimonadota"	0	180013	0
"302"	"Endophytic"	"Sapindales"	"Cyanobacteria"	6400	180013	0.0355529878397671
"303"	"Endophytic"	"Sapindales"	"Dadabacteria"	0	180013	0
"304"	"Endophytic"	"Sapindales"	"Deferribacterota"	0	180013	0
"305"	"Endophytic"	"Sapindales"	"Deferrisomatota"	0	180013	0
"306"	"Endophytic"	"Sapindales"	"Deinococcota"	28	180013	0.000155544321798981
"307"	"Endophytic"	"Sapindales"	"Dependentiae"	0	180013	0
"308"	"Endophytic"	"Sapindales"	"Desulfobacterota"	5	180013	2.77757717498181e-05
"309"	"Endophytic"	"Sapindales"	"Elusimicrobiota"	0	180013	0
"310"	"Endophytic"	"Sapindales"	"Entotheonellaeota"	0	180013	0
"311"	"Endophytic"	"Sapindales"	"Fcpu426"	0	180013	0
"312"	"Endophytic"	"Sapindales"	"Fermentibacterota"	0	180013	0
"313"	"Endophytic"	"Sapindales"	"Fibrobacterota"	0	180013	0
"314"	"Endophytic"	"Sapindales"	"Firmicutes"	720	180013	0.0039997111319738
"315"	"Endophytic"	"Sapindales"	"Fusobacteriota"	0	180013	0
"316"	"Endophytic"	"Sapindales"	"Gal15"	0	180013	0
"317"	"Endophytic"	"Sapindales"	"Gemmatimonadota"	0	180013	0
"318"	"Endophytic"	"Sapindales"	"Hydrogenedentes"	0	180013	0
"319"	"Endophytic"	"Sapindales"	"Latescibacterota"	0	180013	0
"320"	"Endophytic"	"Sapindales"	"Lcp-89"	0	180013	0
"321"	"Endophytic"	"Sapindales"	"Marinimicrobia"	0	180013	0
"322"	"Endophytic"	"Sapindales"	"Mbnt15"	0	180013	0
"323"	"Endophytic"	"Sapindales"	"Methylomirabilota"	2	180013	1.11103086999272e-05
"324"	"Endophytic"	"Sapindales"	"Modulibacteria"	0	180013	0
"325"	"Endophytic"	"Sapindales"	"Myxococcota"	76	180013	0.000422191730597235
"326"	"Endophytic"	"Sapindales"	"Nb1-j"	0	180013	0
"327"	"Endophytic"	"Sapindales"	"Nitrospirota"	0	180013	0
"328"	"Endophytic"	"Sapindales"	"Patescibacteria"	30	180013	0.000166654630498908
